Piece Code,Product,Size,Serial,Passport URL (encode in QR),Claim Code (print under label)
JKT-M-0074,DB-JAC-01,M,74,https://dirbalk.com/p/cxz5qf8,MZ4R-FRV9
JKT-M-0075,DB-JAC-01,M,75,https://dirbalk.com/p/b8p3tzg,HHW6-F5QY
JKT-M-0076,DB-JAC-01,M,76,https://dirbalk.com/p/5dmcv55,XTUP-YZ8J
JKT-M-0077,DB-JAC-01,M,77,https://dirbalk.com/p/xfysanq,XPWR-SGR8
JKT-M-0078,DB-JAC-01,M,78,https://dirbalk.com/p/vrfm438,GPY8-F523
JKT-M-0079,DB-JAC-01,M,79,https://dirbalk.com/p/ssvy8mp,6QCS-FXBF
JKT-M-0080,DB-JAC-01,M,80,https://dirbalk.com/p/gbu7sfq,K3HR-VQZU
JKT-L-0081,DB-JAC-01,L,81,https://dirbalk.com/p/j2je5q4,K3AR-67Q6
JKT-L-0082,DB-JAC-01,L,82,https://dirbalk.com/p/jsa68fz,WK47-AZNY
JKT-L-0083,DB-JAC-01,L,83,https://dirbalk.com/p/4ww2rqe,AVDT-5CUH
JKT-L-0084,DB-JAC-01,L,84,https://dirbalk.com/p/8faqv5x,DXUQ-U9SY
JKT-L-0085,DB-JAC-01,L,85,https://dirbalk.com/p/7raxpet,KUBV-FSED
JKT-L-0086,DB-JAC-01,L,86,https://dirbalk.com/p/xd79ezz,3RQR-PHUC
JKT-L-0087,DB-JAC-01,L,87,https://dirbalk.com/p/d6jn3ua,X7PT-866M
JKT-L-0088,DB-JAC-01,L,88,https://dirbalk.com/p/jxfrgwm,XJYH-FD6C
JKT-L-0089,DB-JAC-01,L,89,https://dirbalk.com/p/2n39hk9,N8CS-QBYG
JKT-L-0090,DB-JAC-01,L,90,https://dirbalk.com/p/x96bza2,J8CP-UWGZ
JKT-L-0091,DB-JAC-01,L,91,https://dirbalk.com/p/fwb2q9v,8D93-HHPM
JKT-L-0092,DB-JAC-01,L,92,https://dirbalk.com/p/mcvgfbg,H4WB-6ES9
JKT-L-0093,DB-JAC-01,L,93,https://dirbalk.com/p/4x4wbu5,Q8EK-E5WF
JKT-L-0094,DB-JAC-01,L,94,https://dirbalk.com/p/tf86p93,TEMV-RM9K
JKT-L-0095,DB-JAC-01,L,95,https://dirbalk.com/p/re9wz35,JH3A-96H2
JKT-L-0096,DB-JAC-01,L,96,https://dirbalk.com/p/gjxkvcn,3PJU-6482
JKT-L-0097,DB-JAC-01,L,97,https://dirbalk.com/p/bbjgdbk,TXS8-7TVH
JKT-L-0098,DB-JAC-01,L,98,https://dirbalk.com/p/hj9zx8n,HVJ4-GN35
JKT-L-0099,DB-JAC-01,L,99,https://dirbalk.com/p/ymdq4z7,F9DZ-ZGWP
JKT-L-0100,DB-JAC-01,L,100,https://dirbalk.com/p/ybzb3k9,VXJJ-6JBB
